Id;Name;Country;CountryCode;Domain;WebPage;Localization;Abbreviations;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Actualizar universidade;Actualizar faculdade;Actualizar flag (F / V);"Eliminar universidade (""x"")";"Not Listed Institution (""x"")";"Eliminar faculdades (""x"")";"Mudar API List Name (""x"")";=;Fuzzy LookUp Match All Universities -- API LIST
1cd1b793-5b91-4b83-99a3-709c73f44a58;;;;;;;;44444.85111;;;;FALSO;;;;x;;;;Y;
861df530-a7da-45aa-aa09-70dc6778faf4;Seomara;;;;;;;44521.68101;;;;VERDADEIRO;Escola Secundária Seomara da Costa Primo;;;;x;;;N;Semera University
0d9430d0-f3ab-4288-a540-70e9a4e3c2d3;Universidade do Minho;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade do Minho
da2a2441-7a1e-41b0-bd75-715af8b40857;Instituto Superior Miguel Torga;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
76962acb-1743-4e95-a715-7168da9547ee;Instituto de Estudos Superiores de Fafe;;;;;;;44516.43069;;;;VERDADEIRO;;;F;;;;;N;
fd9c5ae2-3197-41a9-bab9-7223a717c1cc;Escola Superior de Enfermagem de Lisboa;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
a918c224-e571-4231-966a-7227e975e5df;Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Viana do Castelo
fafc6c57-3bcc-41ba-a4bf-722e05f2ade6;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Castelo Branco
755b101f-66ca-4e24-9cab-725fd34ea415;Escola Superior de Negócios Atlântico;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
5335d4e3-86ef-4119-955f-7315dc30e214;Universidade de Évora - Escola de Ciências Sociais;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Universidade de Evora
e92894db-e57e-4e36-a656-73a557e5d4ce;Universidade dos Açores - Faculdade de Ciências e Tecnologia;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Universidade dos Acores
a2d78739-7494-4d22-b238-73bd86f52230;Universidade de Lisboa - Faculdade de Medicina;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade de Lisboa
de799d95-17aa-43e9-971b-7431457f5fec;PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul;;;;;;;44455.47809;;;;VERDADEIRO;Pontifícia Universidade Católica do Rio Grande do Sul;;F;;;x;;N;
b12c4c56-8a93-4944-9584-7455e9851851;Escola Superior Gallaecia;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
4293ac5c-b329-42f2-8c6a-74b110a38836;Instituto Politécnico de Leiria - Escola Superior de Artes e Design;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Leiria
310fc2ae-45ef-41c4-8482-74bac34d6538;Universidade do Porto - Faculdade de Medicina Dentária;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade do Porto
6132e2dc-3d29-44d6-895c-752c8a10096c;Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Viana do Castelo
