Id;Name;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Caso;New Univeristy Name
0c789439-06f8-4be3-8f71-013fa9374dd4;Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto;2021-09-05 20:25:36;;;;FALSO;1;
463115b8-9713-45df-9935-01ef37595bab;Universidade do Porto - Faculdade de Belas-Artes;2021-09-05 20:25:36;;;;FALSO;1;
ac3ee8d2-3c30-4c9b-a7c0-03751b06c5ba;Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa;2021-09-05 20:25:36;;;;FALSO;1;
ef1b553d-b00d-406b-b5f9-05bcb31f937f;Wrocalw University of Economics;2021-10-25 16:22:00;;;;VERDADEIRO;1;
4034f32a-5610-4791-8151-05f2b651cae5;Instituto Superior Manuel Teixeira Gomes;2021-09-05 20:25:36;;;;FALSO;1;
b0c1f93a-5c72-423d-9fcd-08db068711de;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra;2021-09-05 20:25:36;;;;FALSO;1;
2c3ac788-aebb-4871-9735-0e3c5575af8c;Universidade de Évora - Escola de Artes;2021-09-05 20:25:36;;;;FALSO;1;
13395b8b-b0ce-4ab9-be8d-0ea282270157;Faculdade de Ciências da Universidade do Porto;2021-10-07 21:38:49;;;;VERDADEIRO;1;
bc5c5c4e-9251-4704-b88f-0f1dad40c8c4;Instituto Superior de Ciências Educativas;2021-09-05 20:25:36;;;;FALSO;;
5398ff0c-0a5b-4cd2-926d-0f4638eab686;Instituto Politécnico de Beja - Escola Superior Agrária;2021-09-05 20:25:36;;;;FALSO;;
200a580b-9a41-4499-8e6e-1015a3469e0e;FEUP - ICBAS;2021-09-05 20:25:36;;;;FALSO;;
928f820c-aa7d-4e5b-840f-101719aeaafd;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;2021-09-05 20:25:36;;;;FALSO;;
2d523613-aa93-4e79-9891-1157527cfb3b;fsg- faculdade da serra gaucha;2021-09-17 18:46:42;;;;VERDADEIRO;;
749d51de-99d7-4f22-b86e-1199cf9c3901;Università di Padova;2021-10-12 19:49:45;;;;VERDADEIRO;;
